sample-id,treatment,crop,harvest,drought,planted
DNA_1,PreDr(P1),switchgrass,pre-drought,pre-drought,planted
DNA_2,PreDr(P2),switchgrass,pre-drought,pre-drought,planted
DNA_3,PreDr(P3),switchgrass,pre-drought,pre-drought,planted
DNA_4,PreDr(P4),switchgrass,pre-drought,pre-drought,planted
DNA_5,PreDr(P5),switchgrass,pre-drought,pre-drought,planted
DNA_6,PreDr(U1),switchgrass,pre-drought,pre-drought,unplanted
DNA_7,PreDr(U2),switchgrass,pre-drought,pre-drought,unplanted
DNA_8,PreDr(U3),switchgrass,pre-drought,pre-drought,unplanted
DNA_9,PreDr(U4),switchgrass,pre-drought,pre-drought,unplanted
DNA_10,PreDr(U5),switchgrass,pre-drought,pre-drought,unplanted
DNA_11,Control1,switchgrass,neg-control,neg-control,neg-control
DNA_12,Control2,switchgrass,neg-control,neg-control,neg-control
DNA_13,H1Dr(P1),switchgrass,harvest1,drought,planted
DNA_14,H1Dr(P2),switchgrass,harvest1,drought,planted
DNA_15,H1Dr(P3),switchgrass,harvest1,drought,planted
DNA_16,H1Dr(P4),switchgrass,harvest1,drought,planted
DNA_17,H1Dr(P5),switchgrass,harvest1,drought,planted
DNA_18,H1Dr(U1),switchgrass,harvest1,drought,unplanted
DNA_19,H1Dr(U2),switchgrass,harvest1,drought,unplanted
DNA_20,H1Dr(U3),switchgrass,harvest1,drought,unplanted
DNA_21,H1Dr(U4),switchgrass,harvest1,drought,unplanted
DNA_22,H1Dr(U5),switchgrass,harvest1,drought,unplanted
DNA_23-neg,Control3,switchgrass,neg-control,neg-control,neg-control
DNA_24-neg,Control4,switchgrass,neg-control,neg-control,neg-control
DNA_25,H2Dr(P1),switchgrass,harvest2,drought,planted
DNA_26,H2Dr(P2),switchgrass,harvest2,drought,planted
DNA_27,H2Dr(P3),switchgrass,harvest2,drought,planted
DNA_28,H2Dr(P4),switchgrass,harvest2,drought,planted
DNA_29,H2Dr(P5),switchgrass,harvest2,drought,planted
DNA_30,H2Dr(U1),switchgrass,harvest2,drought,unplanted
DNA_31,H2Dr(U2),switchgrass,harvest2,drought,unplanted
DNA_32,H2Dr(U3),switchgrass,harvest2,drought,unplanted
DNA_33,H2Dr(U4),switchgrass,harvest2,drought,unplanted
DNA_34,H2Dr(U5),switchgrass,harvest2,drought,unplanted
DNA_35-neg,Control5,switchgrass,neg-control,neg-control,neg-control
DNA_36-neg,Control6,switchgrass,neg-control,neg-control,neg-control
DNA_37,H3Dr(P1),switchgrass,harvest3,drought,planted
DNA_38,H3Dr(P2),switchgrass,harvest3,drought,planted
DNA_39,H3Dr(P3),switchgrass,harvest3,drought,planted
DNA_40,H3Dr(P4),switchgrass,harvest3,drought,planted
DNA_41,H3Dr(P5),switchgrass,harvest3,drought,planted
DNA_42,H3Dr(U1),switchgrass,harvest3,drought,unplanted
DNA_43,H3Dr(U2),switchgrass,harvest3,drought,unplanted
DNA_44,H3Dr(U3),switchgrass,harvest3,drought,unplanted
DNA_45,H3Dr(U4),switchgrass,harvest3,drought,unplanted
DNA_46,H3Dr(U5),switchgrass,harvest3,drought,unplanted
DNA_47-neg,Control7,switchgrass,neg-control,neg-control,neg-control
DNA_48-neg,Control8,switchgrass,neg-control,neg-control,neg-control
DNA_49,H4Dr(P1),switchgrass,harvest4,drought,planted
DNA_50,H4Dr(P2),switchgrass,harvest4,drought,planted
DNA_51,H4Dr(P3),switchgrass,harvest4,drought,planted
DNA_52,H4Dr(P4),switchgrass,harvest4,drought,planted
DNA_53,H4Dr(P5),switchgrass,harvest4,drought,planted
DNA_54,H4Dr(U1),switchgrass,harvest4,drought,unplanted
DNA_55,H4Dr(U2),switchgrass,harvest4,drought,unplanted
DNA_56,H4Dr(U3),switchgrass,harvest4,drought,unplanted
DNA_57,H4Dr(U4),switchgrass,harvest4,drought,unplanted
DNA_58,H4Dr(U5),switchgrass,harvest4,drought,unplanted
DNA_59,H5Dr(P1),switchgrass,harvest5,drought,planted
DNA_60,H5Dr(P2),switchgrass,harvest5,drought,planted
DNA_61,H5Dr(P3),switchgrass,harvest5,drought,planted
DNA_62,H5Dr(P4),switchgrass,harvest5,drought,planted
DNA_63,H5Dr(P5),switchgrass,harvest5,drought,planted
DNA_64,H5Dr(U1),switchgrass,harvest5,drought,unplanted
DNA_65,H5Dr(U2),switchgrass,harvest5,drought,unplanted
DNA_66,H5Dr(U3),switchgrass,harvest5,drought,unplanted
DNA_67,H5Dr(U4),switchgrass,harvest5,drought,unplanted
DNA_68,H5Dr(U5),switchgrass,harvest5,drought,unplanted
DNA_69-neg,Control9,switchgrass,neg-control,neg-control,neg-control
DNA_70-neg,Control10,switchgrass,neg-control,neg-control,neg-control
DNA_71,H1WW(P1),switchgrass,harvest1,well-watered,planted
DNA_72,H1WW(P2),switchgrass,harvest1,well-watered,planted
DNA_73,H1WW(P3),switchgrass,harvest1,well-watered,planted
DNA_74,H1WW(P4),switchgrass,harvest1,well-watered,planted
DNA_75,H1WW(P5),switchgrass,harvest1,well-watered,planted
DNA_76,H1WW(U1),switchgrass,harvest1,well-watered,unplanted
DNA_77,H1WW(U2),switchgrass,harvest1,well-watered,unplanted
DNA_78,H1WW(U3),switchgrass,harvest1,well-watered,unplanted
DNA_79,H1WW(U4),switchgrass,harvest1,well-watered,unplanted
DNA_80,H1WW(U5),switchgrass,harvest1,well-watered,unplanted
DNA_81,H2WW(P1),switchgrass,harvest2,well-watered,planted
DNA_82,H2WW(P2),switchgrass,harvest2,well-watered,planted
DNA_83,H2WW(P3),switchgrass,harvest2,well-watered,planted
DNA_84,H2WW(P4),switchgrass,harvest2,well-watered,planted
positivecontrol1-Shade,Shadeposcontrol1,switchgrass,pos-control,pos-control,pos-control
RTSF_NTC_704,RTSF_negcontrol,switchgrass,neg-control,neg-control,neg-control
RTSF_NTC_761,RTSF_negcontrol,switchgrass,neg-control,neg-control,neg-control
ZymoMockDNA_705,RTSF_poscontrol,switchgrass,pos-control,pos-control,pos-control
DNA_85,H2WW(P5),switchgrass,harvest2,well-watered,planted
DNA_86,H2WW(U1),switchgrass,harvest2,well-watered,unplanted
DNA_87,H2WW(U2),switchgrass,harvest2,well-watered,unplanted
DNA_88,H2WW(U3),switchgrass,harvest2,well-watered,unplanted
DNA_89,H2WW(U4),switchgrass,harvest2,well-watered,unplanted
DNA_90,H2WW(U5),switchgrass,harvest2,well-watered,unplanted
DNA_91-neg,Control11,switchgrass,neg-control,neg-control,neg-control
DNA_92-neg,Control12,switchgrass,neg-control,neg-control,neg-control
DNA_93,H3WW(P1),switchgrass,harvest3,well-watered,planted
DNA_94,H3WW(P2),switchgrass,harvest3,well-watered,planted
DNA_95,H3WW(P3),switchgrass,harvest3,well-watered,planted
DNA_96,H3WW(P4),switchgrass,harvest3,well-watered,planted
DNA_97,H3WW(P5),switchgrass,harvest3,well-watered,planted
DNA_98,H3WW(U1),switchgrass,harvest3,well-watered,unplanted
DNA_99,H3WW(U2),switchgrass,harvest3,well-watered,unplanted
DNA_100,H3WW(U3),switchgrass,harvest3,well-watered,unplanted
DNA_101,H3WW(U4),switchgrass,harvest3,well-watered,unplanted
DNA_102,H3WW(U5),switchgrass,harvest3,well-watered,unplanted
DNA_103-neg,Control13,switchgrass,neg-control,neg-control,neg-control
DNA_104-neg,Control14,switchgrass,neg-control,neg-control,neg-control
DNA_105,H4WW(P1),switchgrass,harvest4,well-watered,planted
DNA_106,H4WW(P2),switchgrass,harvest4,well-watered,planted
DNA_107,H4WW(P3),switchgrass,harvest4,well-watered,planted
DNA_108,H4WW(P4),switchgrass,harvest4,well-watered,planted
