sample-id	treatment	plant
DNA_1	PreDr(PI)	switchgrass
DNA_2	PreDr(P2)	switchgrass
DNA_3	PreDr(P3)	switchgrass
DNA_4	PreDr(P4)	switchgrass
DNA_5	PreDr(P5)	switchgrass
DNA_6	PreDr(UI)	switchgrass
DNA_7	PreDr(U2)	switchgrass
DNA_8	PreDr(U3)	switchgrass
DNA_9	PreDr(U4)	switchgrass
DNA_10	PreDr(U5)	switchgrass
DNA_11	Control1	switchgrass
DNA_12	Control2	switchgrass
DNA_13	H1Dr(P1)	switchgrass
DNA_14	H1Dr(P2)	switchgrass
DNA_15	H1Dr(P3)	switchgrass
DNA_16	H1Dr(P4)	switchgrass
DNA_17	H1Dr(P5)	switchgrass
DNA_18	H1Dr(U1)	switchgrass
DNA_19	H1Dr(U2)	switchgrass
DNA_20	H1Dr(U3)	switchgrass
DNA_21	H1Dr(U4)	switchgrass
DNA_22	H1Dr(U5)	switchgrass
DNA_23-neg	Control3	switchgrass
DNA_24-neg	Control4	switchgrass
DNA_25	H2Dr(P1)	switchgrass
DNA_26	H2Dr(P2)	switchgrass
DNA_27	H2Dr(P3)	switchgrass
DNA_28	H2Dr(P4)	switchgrass
DNA_29	H2Dr(P5)	switchgrass
DNA_30	H2Dr(U1)	switchgrass
DNA_31	H2Dr(U2)	switchgrass
DNA_32	H2Dr(U3)	switchgrass
DNA_33	H2Dr(U4)	switchgrass
DNA_34	H2Dr(U5)	switchgrass
DNA_35-neg	Control5	switchgrass
DNA_36-neg	Control6	switchgrass
DNA_37	H3Dr(P1)	switchgrass
DNA_38	H3Dr(P2)	switchgrass
DNA_39	H3Dr(P3)	switchgrass
DNA_40	H3Dr(P4)	switchgrass
DNA_41	H3Dr(P5)	switchgrass
DNA_42	H3Dr(U1)	switchgrass
DNA_43	H3Dr(U2)	switchgrass
DNA_44	H3Dr(U3)	switchgrass
DNA_45	H3Dr(U4)	switchgrass
DNA_46	H3Dr(U5)	switchgrass
DNA_47-neg	Control7	switchgrass
DNA_48-neg	Control8	switchgrass
DNA_49	H4Dr(P1)	switchgrass
DNA_50	H4Dr(P2)	switchgrass
DNA_51	H4Dr(P3)	switchgrass
DNA_52	H4Dr(P4)	switchgrass
DNA_53	H4Dr(P5)	switchgrass
DNA_54	H4Dr(U1)	switchgrass
DNA_55	H4Dr(U2)	switchgrass
DNA_56	H4Dr(U3)	switchgrass
DNA_57	H4Dr(U4)	switchgrass
DNA_58	H4Dr(U5)	switchgrass
DNA_59	H5Dr(P1)	switchgrass
DNA_60	H5Dr(P2)	switchgrass
DNA_61	H5Dr(P3)	switchgrass
DNA_62	H5Dr(P4)	switchgrass
DNA_63	H5Dr(P5)	switchgrass
DNA_64	H5Dr(U1)	switchgrass
DNA_65	H5Dr(U2)	switchgrass
DNA_66	H5Dr(U3)	switchgrass
DNA_67	H5Dr(U4)	switchgrass
DNA_68	H5Dr(U5)	switchgrass
DNA_69-neg	Control9	switchgrass
DNA_70-neg	Control10	switchgrass
DNA_71	H1WW(P1)	switchgrass
DNA_72	H1WW(P2)	switchgrass
DNA_73	H1WW(P3)	switchgrass
DNA_74	H1WW(P4)	switchgrass
DNA_75	H1WW(P5)	switchgrass
DNA_76	H1WW(U1)	switchgrass
DNA_77	H1WW(U2)	switchgrass
DNA_78	H1WW(U3)	switchgrass
DNA_79	H1WW(U4)	switchgrass
DNA_80	H1WW(U5)	switchgrass
DNA_81	H2WW(P1)	switchgrass
DNA_82	H2WW(P2)	switchgrass
DNA_83	H2WW(P3)	switchgrass
DNA_84	H2WW(P4)	switchgrass
positivecontrol1-Shade	Shadeposcontrol1	switchgrass
RTSF_NTC_704	RTSF_negcontrol	switchgrass
RTSF_NTC_761	RTSF_negcontrol	switchgrass
ZymoMockDNA_705	RTSF_poscontrol	switchgrass
DNA_85	H2WW(P5)	switchgrass
DNA_86	H2WW(U1)	switchgrass
DNA_87	H2WW(U2)	switchgrass
DNA_88	H2WW(U3)	switchgrass
DNA_89	H2WW(U4)	switchgrass
DNA_90	H2WW(U5)	switchgrass
DNA_91-neg	Control11	switchgrass
DNA_92-neg	Control12	switchgrass
DNA_93	H3WW(P1)	switchgrass
DNA_94	H3WW(P2)	switchgrass
DNA_95	H3WW(P3)	switchgrass
DNA_96	H3WW(P4)	switchgrass
DNA_97	H3WW(P5)	switchgrass
DNA_98	H3WW(U1)	switchgrass
DNA_99	H3WW(U2)	switchgrass
DNA_100	H3WW(U3)	switchgrass
DNA_101	H3WW(U4)	switchgrass
DNA_102	H3WW(U5)	switchgrass
DNA_103-neg	Control13	switchgrass
DNA_104-neg	Control14	switchgrass
DNA_105	H4WW(P1)	switchgrass
DNA_106	H4WW(P2)	switchgrass
DNA_107	H4WW(P3)	switchgrass
DNA_108	H4WW(P4)	switchgrass
DNA_109	H4WW(P5)	switchgrass
DNA_110	H4WW(U1)	switchgrass
DNA_111	H4WW(U2)	switchgrass
DNA_112	H4WW(U3)	switchgrass
DNA_113	H4WW(U4)	switchgrass
DNA_114	H4WW(U5)	switchgrass
DNA_115	H5WW(P1)	switchgrass
DNA_116	H5WW(P2)	switchgrass
DNA_117	H5WW(P3)	switchgrass
DNA_118	H5WW(P4)	switchgrass
DNA_119	H5WW(P5)	switchgrass
DNA_120-neg	Control15	switchgrass
DNA_121-neg	Control16	switchgrass
DNA_122	H5WW(U1)	switchgrass
DNA_123	H5WW(U2)	switchgrass
DNA_124	H5WW(U3)	switchgrass
DNA_125	H5WW(U4)	switchgrass
DNA_126	H5WW(U5)	switchgrass
DNA_127	PreDr(P1)	bean
DNA_128	PreDr(P2)	bean
DNA_129	PreDr(P3)	bean
DNA_130	PreDr(P4)	bean
DNA_131	PreDr(P5)	bean
DNA_132-neg	Control17	bean
DNA_133-neg	Control18	bean
DNA_134	PreDr(U1)	bean
DNA_135	PreDr(U2)	bean
DNA_136	PreDr(U3)	bean
DNA_137	PreDr(U4)	bean
DNA_138	PreDr(U5)	bean
DNA_139	H1Dr(P1)	bean
DNA_140	H1Dr(P2)	bean
DNA_141	H1Dr(P3)	bean
DNA_142	H1Dr(P4)	bean
DNA_143	H1Dr(P5)	bean
DNA_144-neg	Control19	bean
DNA_145-neg	Control20	bean
DNA_146	H1Dr(U1)	bean
DNA_147	H1Dr(U2)	bean
DNA_148	H1Dr(U3)	bean
DNA_149	H1Dr(U4)	bean
DNA_150	H1Dr(U5)	bean
DNA_151	H2Dr(P1)	bean
DNA_152	H2Dr(P2)	bean
DNA_153	H2Dr(P3)	bean
DNA_154	H2Dr(P4)	bean
DNA_155	H2Dr(P5)	bean
DNA_156	H2Dr(U1)	bean
DNA_157	H2Dr(U2)	bean
DNA_158	H2Dr(U3)	bean
DNA_159	H2Dr(U4)	bean
DNA_160	H2Dr(U5)	bean
DNA_161-neg	Control21	bean
DNA_162-neg	Control22	bean
DNA_163	H3Dr(P1)	bean
DNA_164	H3Dr(P2)	bean
DNA_165	H3Dr(P3)	bean
DNA_166	H3Dr(P4)	bean
DNA_167	H3Dr(P5)	bean
DNA_168	H3Dr(U1)	bean
positivecontrol2-Shade	Shadeposcontrol2	bean
RTSF_NTC_751	RTSF_negcontrol	bean
RTSF_NTC_762	RTSF_negcontrol	bean
ZymoMockDNA_752	RTSF_poscontrol	bean
DNA_169	H3Dr(U2)	bean
DNA_170	H3Dr(U3)	bean
DNA_171	H3Dr(U4)	bean
DNA_172	H3Dr(U5)	bean
DNA_173	H4Dr(P1)	bean
DNA_174	H4Dr(P2)	bean
DNA_175	H4Dr(P3)	bean
DNA_176	H4Dr(P4)	bean
DNA_177	H4Dr(P5)	bean
DNA_178-neg	Control23	bean
DNA_179-neg	Control24	bean
DNA_180	H4Dr(U1)	bean
DNA_181	H4Dr(U2)	bean
DNA_182	H4Dr(U3)	bean
DNA_183	H4Dr(U4)	bean
DNA_184	H4Dr(U5)	bean
DNA_185	H5Dr(P1)	bean
DNA_186	H5Dr(P2)	bean
DNA_187	H5Dr(P3)	bean
DNA_188	H5Dr(P4)	bean
DNA_189	H5Dr(P5)	bean
DNA_190	H5Dr(U1)	bean
DNA_191	H5Dr(U2)	bean
